market_unique_key,chain_id,collateral_symbol,loan_symbol,collateral_price_ratio,collateral_assets,collateral_usd
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.55,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.6,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.65,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.7,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.75,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.8,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.85,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.9,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,0.95,0,0.0
0x47994b98c35ff54b5c9e6375adceb7fe687808fb4d69eae830a695ce491fa9a9,98866,sdeUSD,USDC.e,1.0,0,0.0
0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,98866,xUSD,USDC,0.05,65845263180000,0.0
0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,98866,xUSD,USDC,0.1,65845263180000,0.0
0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,98866,xUSD,USDC,0.15,65845263180000,0.0
0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,98866,xUSD,USDC,0.2,65845263180000,0.0
0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,98866,xUSD,USDC,0.25,65845263180000,0.0
0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,98866,xUSD,USDC,0.3,65845263180000,0.0
0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,98866,xUSD,USDC,0.35,65845263180000,0.0
0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,98866,xUSD,USDC,0.4,65845253180000,0.0
0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,98866,xUSD,USDC,0.45,65845253180000,0.0
