hash,timestamp,date,datetime,block_number,type,user_address,market_unique_key,assets,assets_usd,shares,seized_assets,seized_assets_usd,bad_debt_assets,bad_debt_assets_usd,liquidator
0x906dd8e7cbaac086a5e0060f99f564f88ded0460d480736ff480b64a4370f2d1,1761265206,2025-10-24,2025-10-24 00:20,34881917,MarketBorrow,0x1597E4B7cF6D2877A1d690b6088668afDb045763,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,2000000000000,,1974052231501949137,,,,,
0xe8e27e1062c8f175989fe93eb01c31c60dc4e19cbf5f0cff6e95732dfc024928,1761268999,2025-10-24,2025-10-24 01:23,34889711,MarketSupply,0xaF8d3FC487261b04256a1CC433856cc808EEb070,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,16000000005000,,15799809827052503139,,,,,
0xf0133f8bcef73e7244df8d676f9ce812a15f15eec369e1ed54755ccaf837b3b6,1761271101,2025-10-24,2025-10-24 01:58,34896041,MarketSupplyCollateral,0x1597E4B7cF6D2877A1d690b6088668afDb045763,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,10374000000000,,,,,,,
0x5852cbf4d2e9d9a98b36cf54a4b4990ea73da3591cb649a2f4685d03cb66b87e,1761271344,2025-10-24,2025-10-24 02:02,34896513,MarketBorrow,0x1597E4B7cF6D2877A1d690b6088668afDb045763,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,10000000000000,,9869526450846884818,,,,,
0x1d901d63b35cb7936689fed1ccdf39511b049118a25b781e217afbdc52b84c87,1761271915,2025-10-24,2025-10-24 02:11,34897675,MarketBorrow,0x1597E4B7cF6D2877A1d690b6088668afDb045763,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,2000000000000,,1973900233977757845,,,,,
0xe419b1dafeb6e4022d10978cf89eacb1e74b45e922540d4e4e8ea9927d3075c5,1761275826,2025-10-24,2025-10-24 03:17,34906301,MarketSupplyCollateral,0x1597E4B7cF6D2877A1d690b6088668afDb045763,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,800000000000,,,,,,,
0xcfbd232c430e19c1fbb092b8d693a7a1e355e43e5fc5d306401628cd509ae7ab,1761613402,2025-10-28,2025-10-28 01:03,35638813,MarketSupply,0xaF8d3FC487261b04256a1CC433856cc808EEb070,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,10000000000000,,9845755492731470660,,,,,
0xbb13be2f8797619636ffdc639b7b5fcfd539305b25b2d142ac1a14454689be45,1761642268,2025-10-28,2025-10-28 09:04,35704736,MarketSupplyCollateral,0x1597E4B7cF6D2877A1d690b6088668afDb045763,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,11537000000000,,,,,,,
0xed6df95aaca96539484c36bd2ef21b0ac7942df41ee96640218d1345e50d39c8,1761642291,2025-10-28,2025-10-28 09:04,35704785,MarketBorrow,0x1597E4B7cF6D2877A1d690b6088668afDb045763,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,9000000000000,,8853235377886954699,,,,,
0xd9b2bc8a2568c75a17764c1be4e15107492394b6e2623ce7cc37d5a8ba3e5fef,1761754797,2025-10-29,2025-10-29 16:19,35929109,MarketWithdraw,0xaF8d3FC487261b04256a1CC433856cc808EEb070,0x82e7ab8ccabaac59b5f397507ed031ebf19a9a5b2657c00c93bc2423cd0a890d,231620720000,,227795662307919852,,,,,
